user_id,quantidade_interacoes
1533,128
1535,794
1581,1
1634,60
1676,31
1755,2
1773,4
1792,31
1891,37
1938,1
1962,18
1986,1
2008,2
2033,1
2046,7
2054,1
2059,8
2070,1
2073,1
2095,1
2148,12
2156,1
2178,42
2205,1
2211,1
2246,1
2310,417
2312,193
2369,5
2378,1
2447,1
2509,1
2525,5
2536,1
2555,6
2557,1
2585,2
2586,57
2595,12
2611,1
2625,7
2693,1
2695,38
2703,1
2781,2
2811,1
2848,2
2957,1
2962,1
2971,1
2982,1
2985,1
2998,3
2999,7
3011,1
3038,1
3090,1
3101,1
3102,1
3111,11
3114,1
3153,1
3187,1
3198,1
3201,1
3205,69
3212,1
3228,2
3241,1
3243,1
3248,1
3253,1
3288,201
3292,1
3301,1
3307,1
3333,1
3337,1
3385,4
3414,1
3420,1
3425,1
3460,1
3484,1
3504,1
3505,2
3514,1
3518,1
3525,1
3535,1
3539,3
3556,1
3566,1
3572,2
3575,1
3577,1
3607,1
3619,1
3622,1
3625,1
3627,2
3634,1
3652,1
3657,1
3672,1
3674,1
3678,1
3682,1
3731,1
3734,1
3735,1
3737,1
3762,1
3775,1
3793,1
3794,9
3807,1
3810,1
3813,3
3820,1
3824,2
3844,1
3855,3
3856,1
3858,1
3861,3
3880,1
3895,1
3908,1
3934,1
3962,1
3980,1
3981,1
3989,1
4005,1
4017,2
4026,1
4036,5
4039,1
4043,1
4046,1
4073,1
4074,7
4093,1
4096,1
4098,1
4099,1
4105,1
4120,1
4141,1
4142,1
4149,5
4150,1
4151,8
4155,1
4166,1
4169,1
4170,1
4174,1
4177,2
4197,1
4200,1
4203,1
4241,3
4242,1
4262,1
4272,1
4276,1
4277,1
4287,1
4291,258
4309,1
4312,1
4317,1
4322,2
4335,9
4337,1
4340,1
4347,1
4353,2
4374,1
4379,1
4395,1
4399,1
4402,1
4408,1
4411,1
4433,1
4439,629
4442,1
4445,1
4453,1
4464,1
4470,2739
4487,1
4496,1
4500,80
4524,1
4525,1
4535,2
4543,1
4546,8
4556,1
4564,1
4601,55
4608,3
4610,1
4627,1
4642,1
4650,1
4657,18
4667,1
4669,1
4684,1
4688,1
4722,1
4740,245
4753,40
4769,2
4775,1
4796,3
4828,1
4861,1
4862,26
4867,1
4891,1
4910,7
4932,3
4938,1
4957,1
5009,1
5012,1
5021,1
5049,2
5060,1741
5061,2
5067,1
5076,2
5087,1
5088,5
5090,1
5135,1
5142,1
5147,2
5148,1
5185,1
5186,4
5190,1
5197,2
5199,1
5203,1
5227,1
5232,1
5233,1
5252,1
5264,1
5265,1
5273,1
5280,1
5285,4
5287,1
5300,2
5307,4
5327,1
5328,2
5349,1
5355,2
5357,1
5362,7
5385,1
5398,1
5408,1
5420,1
5421,1
5427,3
5434,2
5465,1
5471,1
5484,1
5495,1
5503,1
5519,1
5523,26
5568,1
5581,1
5585,1
5597,1
5602,1
5607,2
5624,1
5633,1
5644,1
5659,1
5662,1
5672,28
5681,1
5683,1
5684,7
5686,2
5689,2
5695,2
5699,2
5704,1
5714,1
5724,1
5743,8
5745,2
5748,1
5751,1
5756,1
5766,1
5785,1
5788,1
5790,1
5793,2
5802,1
5815,7
5830,3
5842,4
5886,1
5888,2
5896,1
5898,3
5899,1
5903,1
5907,1
5920,2
5929,14
5936,1
5946,12
5951,3
5953,1
5964,1
5965,1
5974,2
5975,2
5978,1
5979,1
5981,1
5988,2
5999,2
6007,1
6010,1
6013,1
6014,1
6037,1
6075,1
6101,9
6111,1
6123,1
6125,1
6127,4
6134,1
6143,1
6144,1
6157,1
6164,36
6179,1
6181,1
6183,1
6199,1
6220,11
6233,1
6234,1
6244,1
6245,1
6258,710
6271,1
6275,2
6288,2
6302,1
6303,1
6313,2
6323,1
6331,2
6338,11
6344,2
6357,1455
6358,2
6359,1
6362,1
6381,10
6389,1
6390,1
6406,14
6408,1
6411,1
6412,1
6415,9
6417,1
6418,3
6427,1
6434,1
6512,89
6518,1
6520,2
6536,7
6545,1
6550,45
6563,2
6566,1
6584,1
6600,1
6614,1
6651,361
6660,1
6664,5
6675,1
6688,1
6702,20
6713,1
6719,2
6733,1
6748,1
6755,2
6765,1
6789,1
6810,5
6826,1
6833,2
6836,125
6863,2
6897,13
6908,1
6914,1
6923,6
6928,1
6975,5
6976,1
6990,1
7008,1
7052,1
7064,1
7066,1
7085,2
7087,1
7093,30
7096,1
7104,1
7108,374
7119,8
7137,1
7164,1
7207,1
7209,1
7230,1
7236,1
7240,1
7251,1
7261,4
7276,1
7278,1
7279,2
7308,20
7329,1
7332,3
7381,1
7384,1
7396,1
7401,1
7407,1
7416,1
7422,19
7449,1
7456,21
7503,1
7504,1
7507,3
7544,1
7562,2
7619,2
7640,1
7643,1
7673,1
7676,22
7683,1
7697,2
7713,1
7745,1
7746,1
7747,1
7768,1
7770,1
7798,20
7802,107
7804,2
7808,1
7813,1
7819,1
7829,1
7883,1
7890,1
7901,2
7903,1
7920,1
7923,1
7934,3
7961,1
7978,5
7994,1
7995,1
8000,22
8005,16
8021,1
8032,2
8053,1
8061,1
8086,4
8108,1
8111,1
8118,1
8160,5
8172,1
8188,1
8195,1
8208,1
8221,1
8229,1
8239,27
8306,1
8310,1
8313,2
8319,1
8321,1
8335,1
8337,1
8342,6
8352,1
8359,4
8367,1
8377,228
8395,1
8396,34
8398,3
8400,1
8414,5
8418,1
8503,1
8508,1
8511,1
8526,76
8527,41
8560,1
8569,2
8571,1
8575,1
8580,8
8584,1
8591,3
8602,1
8606,96
8611,1
8619,5
8625,2
8627,3
8629,804
8631,6
8632,1
