recipe_id,quantidade_avaliacoes,media_rating,recipe_name
2886,1613,4.18598884066956,best banana bread
27208,1601,4.288569643972517,to die for crock pot roast
89204,1579,4.220392653578214,crock pot chicken with black beans   cream cheese
39087,1448,4.541436464088398,creamy cajun chicken pasta
67256,1322,4.329046898638427,best ever banana cake with cream cheese frosting
54257,1305,4.213793103448276,yes  virginia there is a great meatloaf
22782,1234,4.423014586709886,jo mama s world famous spaghetti
32204,1220,4.525409836065574,whatever floats your boat  brownies
69173,997,4.708124373119358,kittencal s italian melt in your mouth meatballs
68955,904,4.398230088495575,japanese mum s chicken
